Episode    100/20000 | Avg Reward:   -8.37 | Max F: 0.2500 | Depth:  20 | LR: 9.95e-05 | Eps: 0.961
Episode    200/20000 | Avg Reward:   -9.11 | Max F: 0.5000 | Depth:  20 | LR: 9.90e-05 | Eps: 0.921
Episode    300/20000 | Avg Reward:   -8.46 | Max F: 0.5000 | Depth:  20 | LR: 9.85e-05 | Eps: 0.882
Episode    400/20000 | Avg Reward:   -8.87 | Max F: 0.5000 | Depth:  20 | LR: 9.80e-05 | Eps: 0.842
Episode    500/20000 | Avg Reward:   -8.82 | Max F: 0.5000 | Depth:  20 | LR: 9.75e-05 | Eps: 0.802
Episode    600/20000 | Avg Reward:   -8.38 | Max F: 0.2500 | Depth:  20 | LR: 9.70e-05 | Eps: 0.763
Episode    700/20000 | Avg Reward:   -8.66 | Max F: 0.5000 | Depth:  20 | LR: 9.66e-05 | Eps: 0.724
Episode    800/20000 | Avg Reward:   -9.14 | Max F: 0.5000 | Depth:  20 | LR: 9.61e-05 | Eps: 0.684
Episode    900/20000 | Avg Reward:   -8.95 | Max F: 0.5000 | Depth:  20 | LR: 9.56e-05 | Eps: 0.644
Episode   1000/20000 | Avg Reward:   -8.77 | Max F: 0.5000 | Depth:  20 | LR: 9.51e-05 | Eps: 0.605
Episode   1100/20000 | Avg Reward:   -9.07 | Max F: 0.5000 | Depth:  20 | LR: 9.46e-05 | Eps: 0.565
Episode   1200/20000 | Avg Reward:   -9.30 | Max F: 0.5000 | Depth:  20 | LR: 9.42e-05 | Eps: 0.525
Episode   1300/20000 | Avg Reward:   -8.93 | Max F: 0.5000 | Depth:  20 | LR: 9.37e-05 | Eps: 0.485
Episode   1400/20000 | Avg Reward:   -9.25 | Max F: 0.5000 | Depth:  20 | LR: 9.32e-05 | Eps: 0.445
Episode   1500/20000 | Avg Reward:   -9.12 | Max F: 0.2500 | Depth:  20 | LR: 9.28e-05 | Eps: 0.405
Episode   1600/20000 | Avg Reward:   -9.06 | Max F: 0.5000 | Depth:  20 | LR: 9.23e-05 | Eps: 0.365
Episode   1700/20000 | Avg Reward:   -8.85 | Max F: 0.5000 | Depth:  20 | LR: 9.19e-05 | Eps: 0.325
Episode   1800/20000 | Avg Reward:   -8.63 | Max F: 0.5000 | Depth:  20 | LR: 9.14e-05 | Eps: 0.285
Episode   1900/20000 | Avg Reward:    0.71 | Max F: 0.5000 | Depth:  20 | LR: 9.09e-05 | Eps: 0.258
Episode   2000/20000 | Avg Reward:    8.55 | Max F: 1.0000 | Depth:   3 | LR: 9.05e-05 | Eps: 0.244
Episode   2100/20000 | Avg Reward:    8.68 | Max F: 0.5000 | Depth:  20 | LR: 9.00e-05 | Eps: 0.229
Episode   2200/20000 | Avg Reward:    8.27 | Max F: 0.5000 | Depth:  20 | LR: 8.96e-05 | Eps: 0.214
Episode   2300/20000 | Avg Reward:    9.03 | Max F: 1.0000 | Depth:   4 | LR: 8.91e-05 | Eps: 0.200
Episode   2400/20000 | Avg Reward:    8.91 | Max F: 0.5000 | Depth:  20 | LR: 8.87e-05 | Eps: 0.187
Episode   2500/20000 | Avg Reward:   -8.04 | Max F: 0.1250 | Depth:  20 | LR: 8.82e-05 | Eps: 0.148
Episode   2600/20000 | Avg Reward:    0.31 | Max F: 1.0000 | Depth:   3 | LR: 8.78e-05 | Eps: 0.121
Episode   2700/20000 | Avg Reward:   11.18 | Max F: 1.0000 | Depth:   3 | LR: 8.74e-05 | Eps: 0.111
Episode   2800/20000 | Avg Reward:   12.62 | Max F: 1.0000 | Depth:   8 | LR: 8.69e-05 | Eps: 0.103
Episode   2900/20000 | Avg Reward:    9.31 | Max F: 1.0000 | Depth:   3 | LR: 8.65e-05 | Eps: 0.100
Episode   3000/20000 | Avg Reward:    7.10 | Max F: 1.0000 | Depth:   9 | LR: 8.61e-05 | Eps: 0.100
Episode   3100/20000 | Avg Reward:   12.52 | Max F: 1.0000 | Depth:   3 | LR: 8.56e-05 | Eps: 0.100
Episode   3200/20000 | Avg Reward:    8.27 | Max F: 1.0000 | Depth:   3 | LR: 8.52e-05 | Eps: 0.100
Episode   3300/20000 | Avg Reward:   11.66 | Max F: 1.0000 | Depth:   4 | LR: 8.48e-05 | Eps: 0.100
Episode   3400/20000 | Avg Reward:   12.07 | Max F: 1.0000 | Depth:   3 | LR: 8.44e-05 | Eps: 0.100
Episode   3500/20000 | Avg Reward:   11.27 | Max F: 1.0000 | Depth:   3 | LR: 8.39e-05 | Eps: 0.100
Episode   3600/20000 | Avg Reward:   11.64 | Max F: 1.0000 | Depth:   3 | LR: 8.35e-05 | Eps: 0.100
Episode   3700/20000 | Avg Reward:   10.86 | Max F: 1.0000 | Depth:   3 | LR: 8.31e-05 | Eps: 0.100
Episode   3800/20000 | Avg Reward:   12.17 | Max F: 1.0000 | Depth:   3 | LR: 8.27e-05 | Eps: 0.100
Episode   3900/20000 | Avg Reward:    7.47 | Max F: 0.5000 | Depth:  20 | LR: 8.23e-05 | Eps: 0.100
Episode   4000/20000 | Avg Reward:   -0.15 | Max F: 1.0000 | Depth:   3 | LR: 8.19e-05 | Eps: 0.100
Episode   4100/20000 | Avg Reward:   11.35 | Max F: 1.0000 | Depth:  15 | LR: 8.15e-05 | Eps: 0.100
Episode   4200/20000 | Avg Reward:    7.75 | Max F: 1.0000 | Depth:   3 | LR: 8.11e-05 | Eps: 0.100
Episode   4300/20000 | Avg Reward:   11.28 | Max F: 1.0000 | Depth:   3 | LR: 8.07e-05 | Eps: 0.100
Episode   4400/20000 | Avg Reward:   11.62 | Max F: 1.0000 | Depth:   3 | LR: 8.03e-05 | Eps: 0.100
Episode   4500/20000 | Avg Reward:    9.31 | Max F: 1.0000 | Depth:   3 | LR: 7.99e-05 | Eps: 0.100
Episode   4600/20000 | Avg Reward:   11.64 | Max F: 1.0000 | Depth:   3 | LR: 7.95e-05 | Eps: 0.100
Episode   4700/20000 | Avg Reward:    8.29 | Max F: 1.0000 | Depth:   3 | LR: 7.91e-05 | Eps: 0.100
Episode   4800/20000 | Avg Reward:   11.37 | Max F: 1.0000 | Depth:   3 | LR: 7.87e-05 | Eps: 0.100
Episode   4900/20000 | Avg Reward:    8.96 | Max F: 1.0000 | Depth:   5 | LR: 7.83e-05 | Eps: 0.100
Episode   5000/20000 | Avg Reward:   11.76 | Max F: 1.0000 | Depth:   3 | LR: 7.79e-05 | Eps: 0.100
Episode   5100/20000 | Avg Reward:   12.69 | Max F: 1.0000 | Depth:   3 | LR: 7.75e-05 | Eps: 0.100
Episode   5200/20000 | Avg Reward:   10.30 | Max F: 1.0000 | Depth:   3 | LR: 7.71e-05 | Eps: 0.100
Episode   5300/20000 | Avg Reward:   11.26 | Max F: 1.0000 | Depth:   3 | LR: 7.67e-05 | Eps: 0.100
Episode   5400/20000 | Avg Reward:   11.73 | Max F: 1.0000 | Depth:   3 | LR: 7.63e-05 | Eps: 0.100
Episode   5500/20000 | Avg Reward:   12.36 | Max F: 1.0000 | Depth:   3 | LR: 7.60e-05 | Eps: 0.100
Episode   5600/20000 | Avg Reward:    3.97 | Max F: 0.5000 | Depth:  20 | LR: 7.56e-05 | Eps: 0.100
Episode   5700/20000 | Avg Reward:   -1.26 | Max F: 1.0000 | Depth:   3 | LR: 7.52e-05 | Eps: 0.100
Episode   5800/20000 | Avg Reward:   11.27 | Max F: 1.0000 | Depth:   5 | LR: 7.48e-05 | Eps: 0.100
Episode   5900/20000 | Avg Reward:   11.45 | Max F: 1.0000 | Depth:   3 | LR: 7.45e-05 | Eps: 0.100
Episode   6000/20000 | Avg Reward:   11.50 | Max F: 1.0000 | Depth:   4 | LR: 7.41e-05 | Eps: 0.100
Episode   6100/20000 | Avg Reward:   12.75 | Max F: 1.0000 | Depth:   3 | LR: 7.37e-05 | Eps: 0.100
Episode   6200/20000 | Avg Reward:   12.54 | Max F: 1.0000 | Depth:   4 | LR: 7.33e-05 | Eps: 0.100
Episode   6300/20000 | Avg Reward:    6.80 | Max F: 0.5000 | Depth:  20 | LR: 7.30e-05 | Eps: 0.100
Episode   6400/20000 | Avg Reward:    9.58 | Max F: 1.0000 | Depth:   3 | LR: 7.26e-05 | Eps: 0.100
Episode   6500/20000 | Avg Reward:   11.93 | Max F: 0.5000 | Depth:  20 | LR: 7.23e-05 | Eps: 0.100
Episode   6600/20000 | Avg Reward:    8.18 | Max F: 1.0000 | Depth:   3 | LR: 7.19e-05 | Eps: 0.100
Episode   6700/20000 | Avg Reward:   10.83 | Max F: 1.0000 | Depth:   3 | LR: 7.15e-05 | Eps: 0.100
Episode   6800/20000 | Avg Reward:   11.87 | Max F: 1.0000 | Depth:   3 | LR: 7.12e-05 | Eps: 0.100
Episode   6900/20000 | Avg Reward:   12.11 | Max F: 1.0000 | Depth:   3 | LR: 7.08e-05 | Eps: 0.100
Episode   7000/20000 | Avg Reward:   10.65 | Max F: 1.0000 | Depth:   3 | LR: 7.05e-05 | Eps: 0.100
Episode   7100/20000 | Avg Reward:    9.95 | Max F: 1.0000 | Depth:   3 | LR: 7.01e-05 | Eps: 0.100
Episode   7200/20000 | Avg Reward:   12.08 | Max F: 1.0000 | Depth:   3 | LR: 6.98e-05 | Eps: 0.100
Episode   7300/20000 | Avg Reward:   -4.98 | Max F: 0.5000 | Depth:  20 | LR: 6.94e-05 | Eps: 0.100
