Episode    100/20000 | Avg Reward:   -1.98 | Max F: 0.0169 | Depth:  20 | LR: 1.00e-04 | Eps: 0.960
Episode    200/20000 | Avg Reward:   -1.98 | Max F: 0.0137 | Depth:  20 | LR: 1.00e-04 | Eps: 0.920
Episode    300/20000 | Avg Reward:   -1.98 | Max F: 0.0376 | Depth:  20 | LR: 1.00e-04 | Eps: 0.880
Episode    400/20000 | Avg Reward:   -1.98 | Max F: 0.0115 | Depth:  20 | LR: 1.00e-04 | Eps: 0.840
Episode    500/20000 | Avg Reward:   -1.98 | Max F: 0.0470 | Depth:  20 | LR: 1.00e-04 | Eps: 0.800
Episode    600/20000 | Avg Reward:   -1.98 | Max F: 0.0161 | Depth:  20 | LR: 1.00e-04 | Eps: 0.760
Episode    700/20000 | Avg Reward:   -1.98 | Max F: 0.0062 | Depth:  20 | LR: 1.00e-04 | Eps: 0.720
Episode    800/20000 | Avg Reward:   -1.98 | Max F: 0.0119 | Depth:  20 | LR: 1.00e-04 | Eps: 0.680
Episode    900/20000 | Avg Reward:   -1.98 | Max F: 0.0144 | Depth:  20 | LR: 1.00e-04 | Eps: 0.640
Episode   1000/20000 | Avg Reward:   -1.98 | Max F: 0.0374 | Depth:  20 | LR: 1.00e-04 | Eps: 0.600
Episode   1100/20000 | Avg Reward:   -1.98 | Max F: 0.0141 | Depth:  20 | LR: 1.00e-04 | Eps: 0.560
Episode   1200/20000 | Avg Reward:   -1.98 | Max F: 0.0155 | Depth:  20 | LR: 1.00e-04 | Eps: 0.520
Episode   1300/20000 | Avg Reward:   -1.96 | Max F: 0.0105 | Depth:  20 | LR: 1.00e-04 | Eps: 0.480
Episode   1400/20000 | Avg Reward:   -1.98 | Max F: 0.0147 | Depth:  20 | LR: 1.00e-04 | Eps: 0.440
Episode   1500/20000 | Avg Reward:   -1.98 | Max F: 0.0028 | Depth:  20 | LR: 1.00e-04 | Eps: 0.400
Episode   1600/20000 | Avg Reward:   -1.98 | Max F: 0.0798 | Depth:  20 | LR: 1.00e-04 | Eps: 0.360
Episode   1700/20000 | Avg Reward:   -1.97 | Max F: 0.0179 | Depth:  20 | LR: 1.00e-04 | Eps: 0.320
Episode   1800/20000 | Avg Reward:   -1.97 | Max F: 0.0183 | Depth:  20 | LR: 1.00e-04 | Eps: 0.280
